runs,player,team,season,match,stadium
7,Bipul Sharma,Chennai Super Kings,5,548348,"MA Chidambaram Stadium, Chepauk"
71,BJ Hodge,Chennai Super Kings,2,392236,SuperSport Park
0,BJ Hodge,Chennai Super Kings,3,419118,Eden Gardens
19,BJ Hodge,Chennai Super Kings,4,501220,Nehru Stadium
51,BJ Hodge,Chennai Super Kings,4,501266,"MA Chidambaram Stadium, Chepauk"
3,BJ Hodge,Chennai Super Kings,5,548337,"MA Chidambaram Stadium, Chepauk"
33,BJ Hodge,Chennai Super Kings,5,548366,Sawai Mansingh Stadium
9,BJ Hodge,Chennai Super Kings,6,598031,"MA Chidambaram Stadium, Chepauk"
0,BJ Hodge,Chennai Super Kings,6,598063,Sawai Mansingh Stadium
4,BJ Rohrer,Chennai Super Kings,6,598067,"MA Chidambaram Stadium, Chepauk"
12,BMAJ Mendis,Chennai Super Kings,6,598025,Feroz Shah Kotla
7,CA Ingram,Chennai Super Kings,4,501258,"MA Chidambaram Stadium, Chepauk"
2,CA Pujara,Chennai Super Kings,4,501216,"MA Chidambaram Stadium, Chepauk"
0,CA Pujara,Chennai Super Kings,5,548323,"MA Chidambaram Stadium, Chepauk"
13,CA Pujara,Chennai Super Kings,7,729288,Sheikh Zayed Stadium
7,CH Gayle,Chennai Super Kings,3,419158,"MA Chidambaram Stadium, Chepauk"
75,CH Gayle,Chennai Super Kings,4,501271,M Chinnaswamy Stadium
8,CH Gayle,Chennai Super Kings,4,501273,Wankhede Stadium
0,CH Gayle,Chennai Super Kings,4,501276,"MA Chidambaram Stadium, Chepauk"
68,CH Gayle,Chennai Super Kings,5,548323,"MA Chidambaram Stadium, Chepauk"
4,CH Gayle,Chennai Super Kings,6,598017,"MA Chidambaram Stadium, Chepauk"
28,CH Gayle,Chennai Super Kings,6,598073,M Chinnaswamy Stadium
46,CH Gayle,Chennai Super Kings,7,734018,JSCA International Stadium Complex
41,CH Gayle,Chennai Super Kings,8,829826,JSCA International Stadium Complex
16,CH Morris,Chennai Super Kings,8,829802,"MA Chidambaram Stadium, Chepauk"
39,CJ Anderson,Chennai Super Kings,7,729308,Dubai International Cricket Stadium
18,CJ Anderson,Chennai Super Kings,7,734000,Wankhede Stadium
20,CJ Anderson,Chennai Super Kings,7,734050,Brabourne Stadium
4,CJ Anderson,Chennai Super Kings,8,829734,Wankhede Stadium
21,CL White,Chennai Super Kings,3,419138,"MA Chidambaram Stadium, Chepauk"
13,CL White,Chennai Super Kings,4,501241,"MA Chidambaram Stadium, Chepauk"
23,CL White,Chennai Super Kings,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
77,CL White,Chennai Super Kings,5,548357,"MA Chidambaram Stadium, Chepauk"
2,CL White,Chennai Super Kings,6,598035,"MA Chidambaram Stadium, Chepauk"
7,CM Gautam,Chennai Super Kings,7,729308,Dubai International Cricket Stadium
9,CM Gautam,Chennai Super Kings,7,734000,Wankhede Stadium
4,CM Gautam,Chennai Super Kings,8,829712,"MA Chidambaram Stadium, Chepauk"
2,CRD Fernando,Chennai Super Kings,3,419170,Dr DY Patil Sports Academy
22,D Wiese,Chennai Super Kings,8,829750,M Chinnaswamy Stadium
17,D Wiese,Chennai Super Kings,8,829784,"MA Chidambaram Stadium, Chepauk"
12,D Wiese,Chennai Super Kings,8,829826,JSCA International Stadium Complex
19,DA Miller,Chennai Super Kings,5,548348,"MA Chidambaram Stadium, Chepauk"
51,DA Miller,Chennai Super Kings,6,598046,"MA Chidambaram Stadium, Chepauk"
54,DA Miller,Chennai Super Kings,7,729288,Sheikh Zayed Stadium
47,DA Miller,Chennai Super Kings,7,733992,Barabati Stadium
38,DA Miller,Chennai Super Kings,7,734052,Wankhede Stadium
3,DA Miller,Chennai Super Kings,8,829758,"MA Chidambaram Stadium, Chepauk"
11,DA Miller,Chennai Super Kings,8,829814,"Punjab Cricket Association Stadium, Mohali"
51,DA Warner,Chennai Super Kings,2,392211,New Wanderers Stadium
6,DA Warner,Chennai Super Kings,3,419121,Feroz Shah Kotla
0,DA Warner,Chennai Super Kings,3,419160,"MA Chidambaram Stadium, Chepauk"
21,DA Warner,Chennai Super Kings,4,501258,"MA Chidambaram Stadium, Chepauk"
8,DA Warner,Chennai Super Kings,5,548369,"MA Chidambaram Stadium, Chepauk"
3,DA Warner,Chennai Super Kings,5,548385,"MA Chidambaram Stadium, Chepauk"
1,DA Warner,Chennai Super Kings,6,598025,Feroz Shah Kotla
44,DA Warner,Chennai Super Kings,6,598067,"MA Chidambaram Stadium, Chepauk"
0,DA Warner,Chennai Super Kings,7,729316,Sharjah Cricket Stadium
90,DA Warner,Chennai Super Kings,7,734034,JSCA International Stadium Complex
53,DA Warner,Chennai Super Kings,8,829716,"MA Chidambaram Stadium, Chepauk"
61,DA Warner,Chennai Super Kings,8,829778,"Rajiv Gandhi International Stadium, Uppal"
27,DB Das,Chennai Super Kings,1,336030,Eden Gardens
11,DB Das,Chennai Super Kings,5,548352,"MA Chidambaram Stadium, Chepauk"
19,DB Das,Chennai Super Kings,5,548373,Eden Gardens
19,DB Das,Chennai Super Kings,6,598027,Eden Gardens
40,DB Ravi Teja,Chennai Super Kings,1,336042,"Rajiv Gandhi International Stadium, Uppal"
0,DB Ravi Teja,Chennai Super Kings,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
1,DH Yagnik,Chennai Super Kings,4,501245,"MA Chidambaram Stadium, Chepauk"
3,DH Yagnik,Chennai Super Kings,4,501254,Sawai Mansingh Stadium
10,DH Yagnik,Chennai Super Kings,5,548366,Sawai Mansingh Stadium
7,DH Yagnik,Chennai Super Kings,6,598031,"MA Chidambaram Stadium, Chepauk"
4,DH Yagnik,Chennai Super Kings,7,734008,JSCA International Stadium Complex
24,DJ Bravo,Chennai Super Kings,1,335994,"MA Chidambaram Stadium, Chepauk"
5,DJ Bravo,Chennai Super Kings,2,392186,Newlands
5,DJ Bravo,Chennai Super Kings,2,392232,St George's Park
11,DJ Bravo,Chennai Super Kings,3,419130,Brabourne Stadium
2,DJ Bravo,Chennai Super Kings,3,419147,"MA Chidambaram Stadium, Chepauk"
15,DJ Harris,Chennai Super Kings,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
15,DJ Hooda,Chennai Super Kings,8,829802,"MA Chidambaram Stadium, Chepauk"
0,DJ Hussey,Chennai Super Kings,1,335998,"MA Chidambaram Stadium, Chepauk"
0,DJ Hussey,Chennai Super Kings,1,336030,Eden Gardens
3,DJ Hussey,Chennai Super Kings,2,392236,SuperSport Park
0,DJ Hussey,Chennai Super Kings,3,419158,"MA Chidambaram Stadium, Chepauk"
7,DJ Hussey,Chennai Super Kings,5,548348,"MA Chidambaram Stadium, Chepauk"
9,DJ Hussey,Chennai Super Kings,5,548376,Himachal Pradesh Cricket Association Stadium
41,DJ Hussey,Chennai Super Kings,6,598012,"Punjab Cricket Association Stadium, Mohali"
22,DJ Hussey,Chennai Super Kings,6,598046,"MA Chidambaram Stadium, Chepauk"
19,DJG Sammy,Chennai Super Kings,6,598035,"MA Chidambaram Stadium, Chepauk"
7,DJG Sammy,Chennai Super Kings,6,598056,"Rajiv Gandhi International Stadium, Uppal"
23,DJG Sammy,Chennai Super Kings,7,729316,Sharjah Cricket Stadium
0,DJG Sammy,Chennai Super Kings,7,734034,JSCA International Stadium Complex
2,DL Vettori,Chennai Super Kings,4,501216,"MA Chidambaram Stadium, Chepauk"
0,DL Vettori,Chennai Super Kings,4,501276,"MA Chidambaram Stadium, Chepauk"
1,DL Vettori,Chennai Super Kings,5,548323,"MA Chidambaram Stadium, Chepauk"
8,DPMD Jayawardene,Chennai Super Kings,1,336018,"MA Chidambaram Stadium, Chepauk"
8,DPMD Jayawardene,Chennai Super Kings,1,336044,Wankhede Stadium
44,DPMD Jayawardene,Chennai Super Kings,2,392219,SuperSport Park
9,DPMD Jayawardene,Chennai Super Kings,3,419126,"MA Chidambaram Stadium, Chepauk"
21,DPMD Jayawardene,Chennai Super Kings,3,419164,Himachal Pradesh Cricket Association Stadium
16,DPMD Jayawardene,Chennai Super Kings,4,501220,Nehru Stadium
20,DPMD Jayawardene,Chennai Super Kings,5,548321,Feroz Shah Kotla
8,DPMD Jayawardene,Chennai Super Kings,5,548369,"MA Chidambaram Stadium, Chepauk"
55,DPMD Jayawardene,Chennai Super Kings,5,548385,"MA Chidambaram Stadium, Chepauk"
6,DPMD Jayawardene,Chennai Super Kings,6,598025,Feroz Shah Kotla
12,DR Smith,Chennai Super Kings,2,392201,Kingsmead
49,DR Smith,Chennai Super Kings,2,392214,Buffalo Park
13,DR Smith,Chennai Super Kings,3,419152,"Vidarbha Cricket Association Stadium, Jamtha"
24,DR Smith,Chennai Super Kings,5,548360,Wankhede Stadium
38,DR Smith,Chennai Super Kings,5,548384,M Chinnaswamy Stadium
3,DR Smith,Chennai Super Kings,6,598007,"MA Chidambaram Stadium, Chepauk"
22,DR Smith,Chennai Super Kings,6,598051,Wankhede Stadium
68,DR Smith,Chennai Super Kings,6,598075,Feroz Shah Kotla
4,DR Smith,Chennai Super Kings,6,598078,Eden Gardens
10,DS Kulkarni,Chennai Super Kings,5,548384,M Chinnaswamy Stadium
28,DS Kulkarni,Chennai Super Kings,7,729302,Dubai International Cricket Stadium
1,DT Christian,Chennai Super Kings,4,501241,"MA Chidambaram Stadium, Chepauk"
2,DT Christian,Chennai Super Kings,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
27,DT Christian,Chennai Super Kings,5,548357,"MA Chidambaram Stadium, Chepauk"
2,DT Christian,Chennai Super Kings,6,598017,"MA Chidambaram Stadium, Chepauk"
1,DW Steyn,Chennai Super Kings,1,336001,M Chinnaswamy Stadium
0,DW Steyn,Chennai Super Kings,2,392190,St George's Park
5,DW Steyn,Chennai Super Kings,5,548316,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
14,DW Steyn,Chennai Super Kings,6,598056,"Rajiv Gandhi International Stadium, Uppal"
1,EJG Morgan,Chennai Super Kings,3,419128,M Chinnaswamy Stadium
6,EJG Morgan,Chennai Super Kings,4,501203,"MA Chidambaram Stadium, Chepauk"
5,EJG Morgan,Chennai Super Kings,4,501250,Eden Gardens
2,EJG Morgan,Chennai Super Kings,6,598027,Eden Gardens
32,EJG Morgan,Chennai Super Kings,6,598039,"MA Chidambaram Stadium, Chepauk"
32,EJG Morgan,Chennai Super Kings,8,829778,"Rajiv Gandhi International Stadium, Uppal"
17,FY Fazal,Chennai Super Kings,3,419134,"Sardar Patel Stadium, Motera"
4,FY Fazal,Chennai Super Kings,3,419142,"MA Chidambaram Stadium, Chepauk"
50,G Gambhir,Chennai Super Kings,1,336006,"MA Chidambaram Stadium, Chepauk"
80,G Gambhir,Chennai Super Kings,1,336014,Feroz Shah Kotla
0,G Gambhir,Chennai Super Kings,2,392194,Kingsmead
13,G Gambhir,Chennai Super Kings,2,392211,New Wanderers Stadium
57,G Gambhir,Chennai Super Kings,3,419160,"MA Chidambaram Stadium, Chepauk"
1,G Gambhir,Chennai Super Kings,4,501203,"MA Chidambaram Stadium, Chepauk"
16,G Gambhir,Chennai Super Kings,4,501250,Eden Gardens
63,G Gambhir,Chennai Super Kings,5,548352,"MA Chidambaram Stadium, Chepauk"
62,G Gambhir,Chennai Super Kings,5,548373,Eden Gardens
2,G Gambhir,Chennai Super Kings,5,548386,"MA Chidambaram Stadium, Chepauk"
25,G Gambhir,Chennai Super Kings,6,598027,Eden Gardens
14,G Gambhir,Chennai Super Kings,6,598039,"MA Chidambaram Stadium, Chepauk"
6,G Gambhir,Chennai Super Kings,7,733976,JSCA International Stadium Complex
21,G Gambhir,Chennai Super Kings,7,734028,Eden Gardens
19,G Gambhir,Chennai Super Kings,8,829728,Eden Gardens
0,G Gambhir,Chennai Super Kings,8,829770,"MA Chidambaram Stadium, Chepauk"
2,GB Hogg,Chennai Super Kings,8,829770,"MA Chidambaram Stadium, Chepauk"
35,GC Smith,Chennai Super Kings,1,336010,Sawai Mansingh Stadium
91,GC Smith,Chennai Super Kings,1,336038,"MA Chidambaram Stadium, Chepauk"
2,GC Smith,Chennai Super Kings,2,392207,SuperSport Park
30,GC Smith,Chennai Super Kings,2,392222,De Beers Diamond Oval
2,GH Vihari,Chennai Super Kings,6,598035,"MA Chidambaram Stadium, Chepauk"
3,GH Vihari,Chennai Super Kings,6,598056,"Rajiv Gandhi International Stadium, Uppal"
8,GH Vihari,Chennai Super Kings,8,829778,"Rajiv Gandhi International Stadium, Uppal"
17,GJ Bailey,Chennai Super Kings,7,729288,Sheikh Zayed Stadium
40,GJ Bailey,Chennai Super Kings,7,733992,Barabati Stadium
1,GJ Bailey,Chennai Super Kings,7,734052,Wankhede Stadium
1,GJ Bailey,Chennai Super Kings,8,829758,"MA Chidambaram Stadium, Chepauk"
12,GJ Bailey,Chennai Super Kings,8,829814,"Punjab Cricket Association Stadium, Mohali"
95,GJ Maxwell,Chennai Super Kings,7,729288,Sheikh Zayed Stadium
90,GJ Maxwell,Chennai Super Kings,7,733992,Barabati Stadium
13,GJ Maxwell,Chennai Super Kings,7,734052,Wankhede Stadium
6,GJ Maxwell,Chennai Super Kings,8,829814,"Punjab Cricket Association Stadium, Mohali"
31,Gurkeerat Singh,Chennai Super Kings,6,598012,"Punjab Cricket Association Stadium, Mohali"
0,Gurkeerat Singh,Chennai Super Kings,6,598046,"MA Chidambaram Stadium, Chepauk"
15,Gurkeerat Singh,Chennai Super Kings,8,829814,"Punjab Cricket Association Stadium, Mohali"
28,Harbhajan Singh,Chennai Super Kings,1,335994,"MA Chidambaram Stadium, Chepauk"
4,Harbhajan Singh,Chennai Super Kings,2,392186,Newlands
1,Harbhajan Singh,Chennai Super Kings,2,392232,St George's Park
33,Harbhajan Singh,Chennai Super Kings,3,419147,"MA Chidambaram Stadium, Chepauk"
1,Harbhajan Singh,Chennai Super Kings,3,419170,Dr DY Patil Sports Academy
0,Harbhajan Singh,Chennai Super Kings,5,548360,Wankhede Stadium
1,Harbhajan Singh,Chennai Super Kings,5,548384,M Chinnaswamy Stadium
21,Harbhajan Singh,Chennai Super Kings,6,598007,"MA Chidambaram Stadium, Chepauk"
25,Harbhajan Singh,Chennai Super Kings,6,598051,Wankhede Stadium
0,Harbhajan Singh,Chennai Super Kings,6,598075,Feroz Shah Kotla
14,Harbhajan Singh,Chennai Super Kings,6,598078,Eden Gardens
0,Harbhajan Singh,Chennai Super Kings,7,729308,Dubai International Cricket Stadium
7,Harbhajan Singh,Chennai Super Kings,7,734050,Brabourne Stadium
24,Harbhajan Singh,Chennai Super Kings,8,829734,Wankhede Stadium
6,Harbhajan Singh,Chennai Super Kings,8,829822,Wankhede Stadium
6,Harbhajan Singh,Chennai Super Kings,8,829828,Eden Gardens
0,Harmeet Singh,Chennai Super Kings,3,419168,Dr DY Patil Sports Academy
10,HH Gibbs,Chennai Super Kings,1,336012,"MA Chidambaram Stadium, Chepauk"
8,HH Gibbs,Chennai Super Kings,1,336042,"Rajiv Gandhi International Stadium, Uppal"
69,HH Gibbs,Chennai Super Kings,2,392201,Kingsmead
0,HH Gibbs,Chennai Super Kings,2,392214,Buffalo Park
45,HH Gibbs,Chennai Super Kings,3,419115,"MA Chidambaram Stadium, Chepauk"
18,HH Gibbs,Chennai Super Kings,3,419168,Dr DY Patil Sports Academy
21,HH Pandya,Chennai Super Kings,8,829794,"MA Chidambaram Stadium, Chepauk"
1,HH Pandya,Chennai Super Kings,8,829822,Wankhede Stadium
0,HH Pandya,Chennai Super Kings,8,829828,Eden Gardens
