runs,player,team,season,match
1,Harbhajan Singh,Chennai Super Kings,3,419170
0,Harbhajan Singh,Chennai Super Kings,5,548360
1,Harbhajan Singh,Chennai Super Kings,5,548384
21,Harbhajan Singh,Chennai Super Kings,6,598007
25,Harbhajan Singh,Chennai Super Kings,6,598051
0,Harbhajan Singh,Chennai Super Kings,6,598075
14,Harbhajan Singh,Chennai Super Kings,6,598078
0,Harbhajan Singh,Chennai Super Kings,7,729308
7,Harbhajan Singh,Chennai Super Kings,7,734050
24,Harbhajan Singh,Chennai Super Kings,8,829734
6,Harbhajan Singh,Chennai Super Kings,8,829822
6,Harbhajan Singh,Chennai Super Kings,8,829828
0,Harmeet Singh,Chennai Super Kings,3,419168
10,HH Gibbs,Chennai Super Kings,1,336012
8,HH Gibbs,Chennai Super Kings,1,336042
69,HH Gibbs,Chennai Super Kings,2,392201
0,HH Gibbs,Chennai Super Kings,2,392214
45,HH Gibbs,Chennai Super Kings,3,419115
18,HH Gibbs,Chennai Super Kings,3,419168
21,HH Pandya,Chennai Super Kings,8,829794
1,HH Pandya,Chennai Super Kings,8,829822
0,HH Pandya,Chennai Super Kings,8,829828
0,HV Patel,Chennai Super Kings,8,829750
0,HV Patel,Chennai Super Kings,8,829784
2,HV Patel,Chennai Super Kings,8,829826
4,I Sharma,Chennai Super Kings,1,335998
6,I Sharma,Chennai Super Kings,3,419118
1,I Sharma,Chennai Super Kings,4,501241
3,IK Pathan,Chennai Super Kings,1,335988
40,IK Pathan,Chennai Super Kings,1,336018
3,IK Pathan,Chennai Super Kings,1,336044
14,IK Pathan,Chennai Super Kings,2,392239
39,IK Pathan,Chennai Super Kings,3,419126
44,IK Pathan,Chennai Super Kings,3,419164
44,IK Pathan,Chennai Super Kings,4,501258
13,IK Pathan,Chennai Super Kings,5,548369
2,IK Pathan,Chennai Super Kings,6,598025
4,IK Pathan,Chennai Super Kings,6,598067
2,Imran Tahir,Chennai Super Kings,8,829712
0,Iqbal Abdulla,Chennai Super Kings,3,419158
3,Iqbal Abdulla,Chennai Super Kings,4,501203
0,Iqbal Abdulla,Chennai Super Kings,8,829784
8,J Botha,Chennai Super Kings,4,501245
14,J Botha,Chennai Super Kings,4,501254
12,J Botha,Chennai Super Kings,5,548366
23,J Botha,Chennai Super Kings,6,598067
1,J Suchith,Chennai Super Kings,8,829822
2,J Syed Mohammad,Chennai Super Kings,4,501276
0,J Theron,Chennai Super Kings,3,419126
73,JA Morkel,Chennai Super Kings,8,829712
8,JA Morkel,Chennai Super Kings,8,829806
15,JD Ryder,Chennai Super Kings,4,501231
19,JD Ryder,Chennai Super Kings,4,501233
73,JD Ryder,Chennai Super Kings,5,548327
9,JD Ryder,Chennai Super Kings,5,548335
1,JD Unadkat,Chennai Super Kings,7,729298
22,JDS Neesham,Chennai Super Kings,7,729298
2,JE Taylor,Chennai Super Kings,4,501231
1,JE Taylor,Chennai Super Kings,4,501233
25,JEC Franklin,Chennai Super Kings,5,548311
1,JEC Franklin,Chennai Super Kings,5,548360
13,JEC Franklin,Chennai Super Kings,5,548384
14,JH Kallis,Chennai Super Kings,1,336001
5,JH Kallis,Chennai Super Kings,1,336034
24,JH Kallis,Chennai Super Kings,2,392190
0,JH Kallis,Chennai Super Kings,2,392229
9,JH Kallis,Chennai Super Kings,2,392243
19,JH Kallis,Chennai Super Kings,3,419128
52,JH Kallis,Chennai Super Kings,3,419138
54,JH Kallis,Chennai Super Kings,4,501203
21,JH Kallis,Chennai Super Kings,4,501250
26,JH Kallis,Chennai Super Kings,5,548352
4,JH Kallis,Chennai Super Kings,5,548373
69,JH Kallis,Chennai Super Kings,5,548386
19,JH Kallis,Chennai Super Kings,6,598039
4,JH Kallis,Chennai Super Kings,7,733976
14,JJ van der Wath,Chennai Super Kings,4,501216
9,JP Duminy,Chennai Super Kings,2,392186
62,JP Duminy,Chennai Super Kings,2,392232
6,JP Duminy,Chennai Super Kings,3,419170
17,JP Duminy,Chennai Super Kings,4,501241
15,JP Duminy,Chennai Super Kings,7,729298
28,JP Duminy,Chennai Super Kings,7,733986
5,JP Duminy,Chennai Super Kings,8,829712
6,JP Duminy,Chennai Super Kings,8,829806
1,JP Faulkner,Chennai Super Kings,6,598063
4,JP Faulkner,Chennai Super Kings,7,729302
1,JP Faulkner,Chennai Super Kings,7,734008
16,JP Faulkner,Chennai Super Kings,8,829802
71,JR Hopes,Chennai Super Kings,1,335988
14,JR Hopes,Chennai Super Kings,1,336018
2,JR Hopes,Chennai Super Kings,1,336044
8,JR Hopes,Chennai Super Kings,4,501258
24,K Goel,Chennai Super Kings,1,335988
1,K Goel,Chennai Super Kings,1,336018
14,K Goel,Chennai Super Kings,2,392219
20,KA Pollard,Chennai Super Kings,3,419130
5,KA Pollard,Chennai Super Kings,3,419147
27,KA Pollard,Chennai Super Kings,3,419170
0,KA Pollard,Chennai Super Kings,4,501226
16,KA Pollard,Chennai Super Kings,5,548384
57,KA Pollard,Chennai Super Kings,6,598007
1,KA Pollard,Chennai Super Kings,6,598051
24,KA Pollard,Chennai Super Kings,6,598075
60,KA Pollard,Chennai Super Kings,6,598078
12,KA Pollard,Chennai Super Kings,7,729308
0,KA Pollard,Chennai Super Kings,7,734000
14,KA Pollard,Chennai Super Kings,7,734050
64,KA Pollard,Chennai Super Kings,8,829734
1,KA Pollard,Chennai Super Kings,8,829794
41,KA Pollard,Chennai Super Kings,8,829822
36,KA Pollard,Chennai Super Kings,8,829828
53,Kamran Akmal,Chennai Super Kings,1,336038
6,Kamran Akmal,Chennai Super Kings,1,336045
2,Karanveer Singh,Chennai Super Kings,8,829758
5,KB Arun Karthik,Chennai Super Kings,6,598017
54,KC Sangakkara,Chennai Super Kings,1,335988
3,KC Sangakkara,Chennai Super Kings,1,336044
7,KC Sangakkara,Chennai Super Kings,2,392239
15,KC Sangakkara,Chennai Super Kings,3,419126
33,KC Sangakkara,Chennai Super Kings,3,419164
15,KC Sangakkara,Chennai Super Kings,4,501241
1,KC Sangakkara,Chennai Super Kings,5,548357
3,KC Sangakkara,Chennai Super Kings,6,598056
6,KD Karthik,Chennai Super Kings,1,336014
18,KD Karthik,Chennai Super Kings,2,392194
52,KD Karthik,Chennai Super Kings,2,392211
19,KD Karthik,Chennai Super Kings,3,419121
13,KD Karthik,Chennai Super Kings,3,419160
21,KD Karthik,Chennai Super Kings,4,501211
11,KD Karthik,Chennai Super Kings,5,548360
6,KD Karthik,Chennai Super Kings,5,548384
37,KD Karthik,Chennai Super Kings,6,598007
23,KD Karthik,Chennai Super Kings,6,598051
11,KD Karthik,Chennai Super Kings,6,598075
21,KD Karthik,Chennai Super Kings,6,598078
21,KD Karthik,Chennai Super Kings,7,729298
51,KD Karthik,Chennai Super Kings,7,733986
10,KD Karthik,Chennai Super Kings,8,829750
23,KD Karthik,Chennai Super Kings,8,829784
28,KD Karthik,Chennai Super Kings,8,829826
8,KK Nair,Chennai Super Kings,7,734008
1,KK Nair,Chennai Super Kings,8,829740
10,KK Nair,Chennai Super Kings,8,829802
25,KL Rahul,Chennai Super Kings,7,729316
5,KL Rahul,Chennai Super Kings,8,829716
1,KM Jadhav,Chennai Super Kings,4,501266
31,KM Jadhav,Chennai Super Kings,6,598025
2,KM Jadhav,Chennai Super Kings,6,598067
29,KM Jadhav,Chennai Super Kings,7,733986
20,KM Jadhav,Chennai Super Kings,8,829712
1,KM Jadhav,Chennai Super Kings,8,829806
0,KP Pietersen,Chennai Super Kings,2,392190
23,KP Pietersen,Chennai Super Kings,3,419138
43,KP Pietersen,Chennai Super Kings,5,548321
0,KP Pietersen,Chennai Super Kings,7,733986
26,KS Williamson,Chennai Super Kings,8,829716
39,KV Sharma,Chennai Super Kings,6,598056
17,KV Sharma,Chennai Super Kings,7,729316
4,KV Sharma,Chennai Super Kings,8,829716
4,KV Sharma,Chennai Super Kings,8,829778
26,KW Richardson,Chennai Super Kings,6,598043
9,L Balaji,Chennai Super Kings,6,598027
2,L Ronchi,Chennai Super Kings,1,335994
9,LA Carseldine,Chennai Super Kings,2,392222
26,LA Pomersbach,Chennai Super Kings,2,392239
29,LA Pomersbach,Chennai Super Kings,4,501273
2,LA Pomersbach,Chennai Super Kings,4,501276
7,LA Pomersbach,Chennai Super Kings,6,598046
2,LJ Wright,Chennai Super Kings,6,598043
38,LMP Simmons,Chennai Super Kings,7,734000
67,LMP Simmons,Chennai Super Kings,7,734050
5,LMP Simmons,Chennai Super Kings,8,829734
38,LMP Simmons,Chennai Super Kings,8,829794
65,LMP Simmons,Chennai Super Kings,8,829822
68,LMP Simmons,Chennai Super Kings,8,829828
42,LR Shukla,Chennai Super Kings,1,335998
13,LR Shukla,Chennai Super Kings,1,336030
19,LR Shukla,Chennai Super Kings,3,419118
17,LR Shukla,Chennai Super Kings,3,419158
14,LR Shukla,Chennai Super Kings,4,501203
9,LR Shukla,Chennai Super Kings,5,548373
3,LR Shukla,Chennai Super Kings,5,548386
1,LR Shukla,Chennai Super Kings,6,598027
0,LR Shukla,Chennai Super Kings,7,733986
53,LRPL Taylor,Chennai Super Kings,1,336001
1,LRPL Taylor,Chennai Super Kings,2,392190
