player,stadium
AT Rayudu,Himachal Pradesh Cricket Association Stadium
AT Rayudu,Sheikh Zayed Stadium
AT Rayudu,Dubai International Cricket Stadium
AT Rayudu,Sharjah Cricket Stadium
AT Rayudu,Barabati Stadium
AT Rayudu,"Sardar Patel Stadium, Motera"
AT Rayudu,"Punjab Cricket Association IS Bindra Stadium, Mohali"
AT Rayudu,Maharashtra Cricket Association Stadium
AUK Pathan,Nehru Stadium
AUK Pathan,M Chinnaswamy Stadium
AUK Pathan,"MA Chidambaram Stadium, Chepauk"
AUK Pathan,Eden Gardens
AUK Pathan,Himachal Pradesh Cricket Association Stadium
Azhar Mahmood,"Punjab Cricket Association Stadium, Mohali"
Azhar Mahmood,Wankhede Stadium
Azhar Mahmood,"MA Chidambaram Stadium, Chepauk"
Azhar Mahmood,M Chinnaswamy Stadium
Azhar Mahmood,"Rajiv Gandhi International Stadium, Uppal"
Azhar Mahmood,Feroz Shah Kotla
Azhar Mahmood,Himachal Pradesh Cricket Association Stadium
Azhar Mahmood,Subrata Roy Sahara Stadium
Azhar Mahmood,Sawai Mansingh Stadium
Azhar Mahmood,Eden Gardens
Azhar Mahmood,Brabourne Stadium
B Akhil,M Chinnaswamy Stadium
B Akhil,Wankhede Stadium
B Akhil,"Rajiv Gandhi International Stadium, Uppal"
B Akhil,"MA Chidambaram Stadium, Chepauk"
B Akhil,Newlands
B Akhil,St George's Park
B Akhil,SuperSport Park
B Akhil,Kingsmead
B Akhil,New Wanderers Stadium
B Akhil,Dr DY Patil Sports Academy
B Akhil,Nehru Stadium
B Chipli,M Chinnaswamy Stadium
B Chipli,"Rajiv Gandhi International Stadium, Uppal"
B Chipli,Eden Gardens
B Chipli,Feroz Shah Kotla
B Chipli,Nehru Stadium
B Chipli,"MA Chidambaram Stadium, Chepauk"
B Chipli,Wankhede Stadium
B Chipli,Dr DY Patil Sports Academy
B Chipli,Himachal Pradesh Cricket Association Stadium
B Chipli,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
B Chipli,Sawai Mansingh Stadium
B Chipli,Subrata Roy Sahara Stadium
B Geeves,Feroz Shah Kotla
B Kumar,"Punjab Cricket Association Stadium, Mohali"
B Kumar,"Rajiv Gandhi International Stadium, Uppal"
B Kumar,Dr DY Patil Sports Academy
B Kumar,Wankhede Stadium
B Kumar,M Chinnaswamy Stadium
B Kumar,"MA Chidambaram Stadium, Chepauk"
B Kumar,Subrata Roy Sahara Stadium
B Kumar,Barabati Stadium
B Kumar,Eden Gardens
B Kumar,Sawai Mansingh Stadium
