wickets,matches,season,player
6,3,9,S Kaushik
4,3,3,S Ladda
1,1,6,S Ladda
4,3,4,S Nadeem
8,4,5,S Nadeem
9,7,6,S Nadeem
8,7,7,S Nadeem
2,1,9,S Nadeem
5,2,3,S Narwal
6,5,4,S Randiv
19,11,1,S Sreesanth
6,4,2,S Sreesanth
4,3,3,S Sreesanth
7,5,4,S Sreesanth
5,4,6,S Sreesanth
5,4,2,S Tyagi
1,1,3,S Tyagi
1,1,1,S Vidyut
4,3,1,SB Bangar
13,6,2,SB Jakati
13,9,3,SB Jakati
10,7,4,SB Jakati
9,6,5,SB Jakati
2,2,9,SB Jakati
1,1,1,SB Joshi
3,3,1,SB Styris
5,2,2,SB Styris
1,1,3,SB Wagh
4,2,4,SB Wagh
6,4,1,SC Ganguly
2,1,2,SC Ganguly
2,1,5,SC Ganguly
2,1,1,SD Chitnis
9,6,3,SE Bond
6,5,3,SJ Srivastava
8,5,4,SJ Srivastava
1,1,1,SK Raina
7,5,2,SK Raina
6,6,3,SK Raina
4,3,4,SK Raina
2,2,5,SK Raina
1,1,6,SK Raina
1,1,7,SK Raina
2,2,8,SK Raina
13,9,1,SK Trivedi
6,5,2,SK Trivedi
11,6,3,SK Trivedi
10,5,4,SK Trivedi
13,7,5,SK Trivedi
12,9,6,SK Trivedi
19,11,1,SK Warne
14,8,2,SK Warne
11,8,3,SK Warne
13,9,4,SK Warne
18,11,2,SL Malinga
15,7,3,SL Malinga
28,13,4,SL Malinga
22,10,5,SL Malinga
20,13,6,SL Malinga
16,9,7,SL Malinga
24,14,8,SL Malinga
2,1,9,SM Boland
3,2,2,SM Harwood
11,7,1,SM Pollock
9,7,6,SMSM Senanayake
1,1,8,SN Thakur
24,12,5,SP Narine
22,10,6,SP Narine
21,12,7,SP Narine
7,4,8,SP Narine
11,7,9,SP Narine
17,11,1,SR Watson
6,3,3,SR Watson
6,3,4,SR Watson
6,4,5,SR Watson
13,9,6,SR Watson
7,3,7,SR Watson
6,4,8,SR Watson
20,10,9,SR Watson
1,1,4,SS Mundhe
1,1,2,SS Sarkar
4,2,1,ST Jayasuriya
7,5,2,ST Jayasuriya
2,1,3,ST Jayasuriya
3,3,5,STR Binny
6,5,6,STR Binny
3,3,7,STR Binny
5,3,8,STR Binny
1,1,9,STR Binny
11,5,3,SW Tait
6,3,4,SW Tait
6,3,5,SW Tait
1,1,6,SW Tait
2,1,9,Sachin Baby
8,3,6,Sandeep Sharma
18,9,7,Sandeep Sharma
13,9,8,Sandeep Sharma
15,12,9,Sandeep Sharma
9,5,1,Shahid Afridi
11,5,4,Shakib Al Hasan
12,8,5,Shakib Al Hasan
11,9,7,Shakib Al Hasan
4,3,8,Shakib Al Hasan
5,5,9,Shakib Al Hasan
3,2,7,Shivam Sharma
1,1,8,Shivam Sharma
5,3,2,Shoaib Ahmed
5,2,1,Shoaib Akhtar
2,2,1,Shoaib Malik
22,7,1,Sohail Tanvir
1,1,2,T Henderson
3,3,9,T Shamsi
3,2,2,T Thushara
5,3,3,T Thushara
9,5,8,TA Boult
1,1,9,TA Boult
4,4,4,TG Southee
6,4,8,TG Southee
9,5,9,TG Southee
5,4,2,TL Suman
1,1,6,TL Suman
1,1,1,TM Dilshan
3,3,3,TM Dilshan
1,1,4,TM Dilshan
1,1,5,TP Sudhindra
6,4,3,UT Yadav
2,1,4,UT Yadav
19,11,5,UT Yadav
16,8,6,UT Yadav
11,7,7,UT Yadav
10,6,8,UT Yadav
10,6,9,UT Yadav
12,5,1,Umar Gul
2,1,1,V Kohli
2,2,4,V Kohli
10,8,5,V Pratap Singh
3,3,1,V Sehwag
3,2,3,V Sehwag
2,2,4,VR Aaron
8,5,5,VR Aaron
16,9,7,VR Aaron
3,2,8,VR Aaron
2,1,9,VR Aaron
11,8,1,VRV Singh
1,1,2,VRV Singh
2,2,2,VS Malik
1,1,3,VS Malik
2,1,6,VS Malik
1,1,7,VS Malik
16,8,1,VY Mahesh
1,1,2,VY Mahesh
1,1,3,VY Mahesh
3,2,5,VY Mahesh
1,1,1,WA Mota
3,3,2,WA Mota
9,6,4,WD Parnell
5,4,5,WD Parnell
7,3,6,WD Parnell
6,5,7,WD Parnell
5,4,1,WPUJC Vaas
4,2,2,WPUJC Vaas
9,5,3,WPUJC Vaas
2,1,2,Y Nagar
1,1,3,Y Nagar
1,1,4,Y Nagar
2,1,1,Y Venugopal Rao
4,3,2,Y Venugopal Rao
14,5,2,YA Abdulla
1,1,3,YA Abdulla
8,5,1,YK Pathan
7,4,2,YK Pathan
5,3,3,YK Pathan
13,9,4,YK Pathan
3,2,5,YK Pathan
1,1,6,YK Pathan
2,1,8,YK Pathan
1,1,9,YK Pathan
12,9,7,YS Chahal
23,13,8,YS Chahal
21,12,9,YS Chahal
3,2,1,Yuvraj Singh
6,2,2,Yuvraj Singh
5,4,3,Yuvraj Singh
9,4,4,Yuvraj Singh
6,5,6,Yuvraj Singh
5,2,7,Yuvraj Singh
1,1,8,Yuvraj Singh
14,8,1,Z Khan
6,4,2,Z Khan
15,8,3,Z Khan
14,10,4,Z Khan
17,11,5,Z Khan
5,2,6,Z Khan
5,3,7,Z Khan
7,5,8,Z Khan
10,8,9,Z Khan
